metric,condition,n,mean,sd,median,q1,q3,sem,minimum,maximum,label_en
Mental,short,26,20.807692307692307,18.452141839405485,16.0,6.0,25.75,3.618762742565786,1.0,76.0,Mental Demand
Mental,control,26,52.19230769230769,26.43031476281617,58.5,25.0,75.0,5.1834111817691975,9.0,93.0,Mental Demand
Mental,med,26,16.73076923076923,17.871894566178913,9.0,5.0,19.75,3.504966889916121,1.0,71.0,Mental Demand
Physical,short,26,39.88461538461539,26.784065297227638,33.5,16.25,57.75,5.252787369381041,4.0,95.0,Physical Demand
Physical,control,26,48.76923076923077,28.801816182050317,51.0,23.0,73.25,5.648500874584116,0.0,95.0,Physical Demand
Physical,med,26,18.692307692307693,21.780301615485918,10.0,3.25,24.5,4.271468574973045,0.0,73.0,Physical Demand
Temporal,short,26,25.807692307692307,26.359088346555886,17.0,4.0,37.25,5.1694425322924875,0.0,93.0,Temporal Demand
Temporal,control,26,38.03846153846154,31.22496535688169,32.0,10.0,62.0,6.123719525615325,0.0,96.0,Temporal Demand
Temporal,med,26,13.153846153846153,16.535276974256725,9.0,3.5,10.75,3.242834613630635,0.0,61.0,Temporal Demand
Performance_rev,short,26,30.384615384615383,24.06337785611475,23.0,10.75,49.75,4.719216663510986,1.0,82.0,Performance (reversed)
Performance_rev,control,26,44.88461538461539,29.702965404924704,42.5,20.25,67.25,5.825230777357019,0.0,95.0,Performance (reversed)
Performance_rev,med,26,37.38461538461539,25.163587857182726,39.0,13.75,50.0,4.934985596760814,1.0,85.0,Performance (reversed)
Effort,short,26,22.0,27.185290140073914,10.5,6.0,24.5,5.331474034881478,0.0,92.0,Effort
Effort,control,26,48.92307692307692,20.79985207047988,52.0,36.25,61.0,4.0791865995084695,9.0,83.0,Effort
Effort,med,26,28.653846153846153,26.044488565056998,17.0,7.0,50.0,5.107744439029608,0.0,76.0,Effort
Frustration,short,26,51.88461538461539,29.131875220214607,54.0,28.0,82.0,5.713230777516323,0.0,100.0,Frustration
Frustration,control,26,58.73076923076923,26.53082387308422,60.0,48.5,79.5,5.203122640021143,5.0,99.0,Frustration
Frustration,med,26,21.346153846153847,24.928605749527684,10.0,3.25,31.0,4.888901813980882,0.0,86.0,Frustration
Overall,short,26,41.84615384615385,28.946422656614835,39.0,21.0,62.75,5.676860537491667,0.0,96.0,Overall Workload
Overall,control,26,50.53846153846154,28.698753658276896,56.0,29.75,73.5,5.628288650744085,4.0,98.0,Overall Workload
Overall,med,26,20.692307692307693,22.180656853698864,9.0,4.25,37.5,4.349984696973695,0.0,76.0,Overall Workload
Raw_TLX,short,26,31.794871794871792,15.542508570033755,28.333333333333332,21.916666666666668,38.416666666666664,3.0481367111071234,2.6666666666666665,73.83333333333333,Raw TLX (mean of 6)
Raw_TLX,control,26,48.589743589743584,18.171359074056365,48.5,36.41666666666667,58.625,3.563696711812105,21.666666666666668,91.5,Raw TLX (mean of 6)
Raw_TLX,med,26,22.66025641025641,17.481449264179112,15.25,10.375,35.083333333333336,3.428394266305059,1.0,57.166666666666664,Raw TLX (mean of 6)
