participant_id,condition,Reading,Output,Reading_Q1,Reading_Q2,Reading_Q3,Output_Q1,Output_Q2,Output_Q3
A001,short,4.0,5.666666666666667,6,3,3,7,7,3
A002,short,4.333333333333333,5.333333333333333,5,5,3,5,5,6
A003,short,3.6666666666666665,3.6666666666666665,4,5,2,4,3,4
A004,short,2.0,4.666666666666667,2,2,2,6,6,2
A005,short,3.0,5.333333333333333,3,3,3,7,7,2
A010,short,2.3333333333333335,4.333333333333333,3,3,1,5,5,3
A006,short,4.0,2.3333333333333335,3,3,6,2,3,2
A007,short,4.666666666666667,5.666666666666667,5,4,5,6,5,6
A009,short,3.3333333333333335,2.0,4,3,3,2,2,2
A008,short,3.6666666666666665,3.3333333333333335,3,5,3,4,3,3
A015,short,2.6666666666666665,5.666666666666667,1,5,2,6,6,5
A011,short,3.3333333333333335,4.0,5,3,2,4,3,5
A012,short,2.6666666666666665,5.0,5,2,1,5,5,5
A013,short,2.0,3.6666666666666665,1,2,3,3,2,6
A020,short,4.333333333333333,6.0,5,3,5,6,7,5
A018,short,4.333333333333333,4.333333333333333,5,3,5,5,5,3
A016,short,1.6666666666666667,4.0,1,1,3,4,3,5
A019,short,3.0,3.6666666666666665,2,5,2,3,6,2
A025,short,3.6666666666666665,3.0,3,3,5,3,3,3
A024,short,5.666666666666667,5.666666666666667,5,6,6,7,5,5
A023,short,2.3333333333333335,3.3333333333333335,3,2,2,4,2,4
A021,short,6.0,5.0,6,6,6,5,5,5
A022,short,4.666666666666667,5.333333333333333,5,6,3,5,6,5
A029,short,1.6666666666666667,4.666666666666667,1,2,2,6,6,2
A028,short,6.333333333333333,7.0,6,6,7,7,7,7
A027,short,5.333333333333333,5.333333333333333,6,5,5,6,5,5
A001,control,5.666666666666667,5.666666666666667,7,6,4,7,7,3
A002,control,6.0,6.333333333333333,7,6,5,6,6,7
A003,control,5.0,5.333333333333333,6,6,3,5,6,5
A004,control,5.0,6.333333333333333,5,5,5,7,7,5
A005,control,4.666666666666667,5.333333333333333,5,4,5,7,7,2
A010,control,5.0,4.333333333333333,5,5,5,5,5,3
A006,control,3.6666666666666665,4.666666666666667,5,3,3,5,5,4
A007,control,4.666666666666667,5.666666666666667,5,4,5,6,5,6
A009,control,2.6666666666666665,3.6666666666666665,3,3,2,3,5,3
A008,control,3.6666666666666665,3.0,3,4,4,3,3,3
A015,control,1.3333333333333333,6.0,1,1,2,6,6,6
A011,control,2.3333333333333335,4.0,3,2,2,4,3,5
A012,control,4.666666666666667,5.666666666666667,6,6,2,6,6,5
A013,control,1.0,2.6666666666666665,1,1,1,4,3,1
A020,control,4.333333333333333,6.0,5,3,5,6,7,5
A018,control,5.0,4.333333333333333,6,3,6,5,5,3
A016,control,4.333333333333333,4.333333333333333,5,5,3,5,3,5
A019,control,5.0,6.333333333333333,5,5,5,6,7,6
A025,control,2.3333333333333335,3.0,3,2,2,3,3,3
A024,control,6.333333333333333,6.0,7,7,5,6,7,5
A023,control,3.0,5.0,3,2,4,5,5,5
A021,control,6.0,6.0,6,6,6,6,6,6
A022,control,5.0,5.333333333333333,5,5,5,5,6,5
A029,control,4.0,4.666666666666667,5,5,2,6,6,2
A028,control,6.0,6.666666666666667,6,6,6,7,7,6
A027,control,3.6666666666666665,4.333333333333333,5,3,3,3,5,5
A001,med,5.0,5.666666666666667,7,5,3,7,7,3
A002,med,5.666666666666667,5.666666666666667,6,6,5,5,5,7
A003,med,5.333333333333333,5.666666666666667,7,5,4,5,6,6
A004,med,4.0,4.0,5,5,2,3,6,3
A005,med,4.333333333333333,5.666666666666667,5,5,3,7,7,3
A010,med,3.6666666666666665,5.0,5,3,3,6,6,3
A006,med,5.666666666666667,5.666666666666667,5,6,6,4,7,6
A007,med,4.666666666666667,5.666666666666667,5,4,5,6,6,5
A009,med,2.3333333333333335,3.6666666666666665,3,2,2,3,5,3
A008,med,5.333333333333333,4.0,5,6,5,3,5,4
A015,med,3.0,5.333333333333333,2,5,2,5,6,5
A011,med,3.3333333333333335,3.6666666666666665,4,2,4,4,2,5
A012,med,1.6666666666666667,4.333333333333333,1,2,2,6,4,3
A013,med,3.0,4.666666666666667,4,4,1,6,3,5
A020,med,4.0,5.666666666666667,4,2,6,7,5,5
A018,med,1.3333333333333333,3.3333333333333335,2,1,1,5,3,2
A016,med,4.0,4.666666666666667,5,5,2,5,4,5
A019,med,4.0,6.0,2,5,5,5,6,7
A025,med,3.6666666666666665,5.0,3,5,3,5,5,5
A024,med,5.666666666666667,6.0,6,5,6,7,7,4
A023,med,3.0,4.333333333333333,2,2,5,4,4,5
A021,med,4.666666666666667,5.666666666666667,5,5,4,6,6,5
A022,med,5.333333333333333,5.0,6,5,5,5,6,4
A029,med,2.3333333333333335,4.0,3,2,2,5,6,1
A028,med,6.666666666666667,6.666666666666667,6,7,7,7,7,6
A027,med,5.0,3.6666666666666665,5,5,5,3,3,5
