source_column_index,source_column,analysis_role,used_as_score
1,タイムスタンプ,timestamp_metadata,False
2,スコア,form_score_metadata,False
3,Q1. 参加者ID,participant_id_key_only,False
4,Q2. 2分間の映画予告映像の中で1度でも見たことのある内容が含まれていましたか？,prior_exposure_question_ignored,False
5,"瞑想動画視聴後に見た2分間の映画予告映像に関する質問です。
Q3. 映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。",score_item,True
6,"瞑想動画視聴後に見た2分間の映画予告映像に関する質問です。
Q4. 映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。",score_item,True
7,"瞑想動画視聴後に見た2分間の映画予告映像に関する質問です。
Q5. 登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。",score_item,True
8,"瞑想動画視聴後の記述タスクに関する質問です。
Q6. どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。",score_item,True
9,"瞑想動画視聴後の記述タスクに関する質問です。
Q7. 「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。",score_item,True
10,"瞑想動画視聴後の記述タスクに関する質問です。
Q8. この質問の回答は4を記入してください．",dummy_attention_check_ignored,False
11,"瞑想動画視聴後の記述タスクに関する質問です。
Q9. すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。",score_item,True
12,"ショート動画視聴後に見た2分間の映画予告映像に関する質問です。
Q10. 映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。",score_item,True
13,"ショート動画視聴後に見た2分間の映画予告映像に関する質問です。
Q11. 映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。",score_item,True
14,"ショート動画視聴後に見た2分間映画予告映像に関する質問です。
Q12. 登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。",score_item,True
15,"ショート動画視聴後の記述タスクに関する質問です。
Q13. どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。",score_item,True
16,"ショート動画視聴後の記述タスクに関する質問です。
Q14. 「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。",score_item,True
17,"ショート動画視聴後の記述タスクに関する質問です。
Q15. すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。",score_item,True
18,"日常動画視聴後に見た2分間の映画予告映像に関する質問です。
Q16. 映像の表面的な描写だけでなく、背後にある意図やテーマまで読み取ろうとした。",score_item,True
19,"日常動画視聴後に見た2分間の映画予告映像に関する質問です。
Q17. 映像をただ受動的に眺めるのではなく、疑問や仮説を持ちながら視聴した。",score_item,True
20,"日常動画視聴後に見た2分間映画予告映像に関する質問です。
Q18. 登場人物の細かい表情や背景の演出など、細部の情報まで注意を払って視聴した。",score_item,True
21,"日常動画視聴後に見た2分間映画予告映像に関する質問です。
Q19. この質問の回答は6を記入してください．",dummy_attention_check_ignored,False
22,"日常動画視聴後の記述タスクに関する質問です。
Q20. どこかで聞いたような言葉ではなく、自分自身の言葉で考えを表現しようと努めた。",score_item,True
23,"日常動画視聴後の記述タスクに関する質問です。
Q21. 「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。",score_item,True
24,"日常動画視聴後の記述タスクに関する質問です。
Q22. 「一般的にどうか」という正解を探すのではなく、「自分自身はどのように考えるか」を軸にして回答を考えた。",duplicate_question_text_ignored,False
25,"日常動画視聴後の記述タスクに関する質問です。
Q22. すぐに思いついたことをそのまま書くのではなく、自分自身で深く考えまとめてから回答した。",score_item,True
26,Q.23 実験のコメントがあれば記入してください．,free_text_comment_ignored,False
