metric,metric_label,condition_1,condition_2,n,test,statistic,p_raw,normality_p_difference,effect,effect_name,mean_difference,p_holm_within_metric,significance_holm
Reading,Reading ability (mean of 3),short,control,26,paired t-test,-2.222427173567674,0.03553187058616312,0.2772040992590899,-0.4358538279061704,Cohen's dz,-0.6025641025641024,0.10659561175848936,NS
Reading,Reading ability (mean of 3),short,med,26,paired t-test,-1.9853477880250754,0.058179138740136305,0.16102672823037878,-0.38935873509262037,Cohen's dz,-0.46153846153846156,0.11635827748027261,NS
Reading,Reading ability (mean of 3),control,med,26,paired t-test,0.5060373671788395,0.617263796053394,0.26560077305316543,0.09924209268661614,Cohen's dz,0.141025641025641,0.617263796053394,NS
Output,Writing output ability (mean of 3),short,control,26,Wilcoxon signed-rank,24.5,0.023920267273533025,0.01142674755379908,-0.6397058823529411,rank-biserial r,-0.4871794871794871,0.07176080182059907,NS
Output,Writing output ability (mean of 3),short,med,26,paired t-test,-1.8281237795961203,0.07948912918282866,0.264001233776059,-0.35852457020860046,Cohen's dz,-0.4102564102564103,0.15897825836565732,NS
Output,Writing output ability (mean of 3),control,med,26,paired t-test,0.4217411678366491,0.6768184315455585,0.1423681287436806,0.08271024786478783,Cohen's dz,0.07692307692307677,0.6768184315455585,NS
Reading_Q1,Reading question 1,short,control,26,paired t-test,-3.192559026492481,0.0037843282024789416,0.058968639864149346,-0.6261123374762286,Cohen's dz,-0.9615384615384616,0.011352984607436825,*
Reading_Q1,Reading question 1,short,med,26,paired t-test,-1.547461151475432,0.13431898225480488,0.29904040566393475,-0.3034821003038457,Cohen's dz,-0.5769230769230769,0.26863796450960975,NS
Reading_Q1,Reading question 1,control,med,26,Wilcoxon signed-rank,43.0,0.3220773837046581,0.009737486893962985,0.2833333333333333,rank-biserial r,0.38461538461538464,0.3220773837046581,NS
Reading_Q2,Reading question 2,short,control,26,paired t-test,-1.2654736218287934,0.2173691967902507,0.06901516212108538,-0.24817979583238287,Cohen's dz,-0.46153846153846156,0.4347383935805014,NS
Reading_Q2,Reading question 2,short,med,26,Wilcoxon signed-rank,42.0,0.09563293905283905,0.03887894062294503,-0.45098039215686275,rank-biserial r,-0.5,0.28689881715851717,NS
Reading_Q2,Reading question 2,control,med,26,paired t-test,-0.1006258262357622,0.9206501462666383,0.34564947711820293,-0.019734348136444167,Cohen's dz,-0.038461538461538464,0.9206501462666383,NS
Reading_Q3,Reading question 3,short,control,26,paired t-test,-1.0952698858458088,0.28383837817496343,0.5186839598179319,-0.21480009694532007,Cohen's dz,-0.38461538461538464,0.8515151345248904,NS
Reading_Q3,Reading question 3,short,med,26,paired t-test,-0.9274777915203365,0.3625468635931781,0.06070524130230261,-0.1818933598994668,Cohen's dz,-0.3076923076923077,0.8515151345248904,NS
Reading_Q3,Reading question 3,control,med,26,Wilcoxon signed-rank,74.5,0.9230415621655215,0.02824029843331331,0.026143790849673203,rank-biserial r,0.07692307692307693,0.9230415621655215,NS
Output_Q1,Output question 1,short,control,26,Wilcoxon signed-rank,25.0,0.06720727407108909,0.0009860910468810103,-0.5238095238095238,rank-biserial r,-0.38461538461538464,0.20162182221326727,NS
Output_Q1,Output question 1,short,med,26,Wilcoxon signed-rank,46.5,0.25206671835702077,0.023383949589649643,-0.3161764705882353,rank-biserial r,-0.2692307692307692,0.5041334367140415,NS
Output_Q1,Output question 1,control,med,26,Wilcoxon signed-rank,36.0,0.8048147172132512,0.0002534827341924871,0.07692307692307693,rank-biserial r,0.11538461538461539,0.8048147172132512,NS
Output_Q2,Output question 2,short,control,26,Wilcoxon signed-rank,0.0,0.002755077103560919,8.086018761265203e-06,-1.0,rank-biserial r,-0.7307692307692307,0.008265231310682757,**
Output_Q2,Output question 2,short,med,26,paired t-test,-1.8934323442006078,0.06993019331177795,0.17030743692757128,-0.37133263349025497,Cohen's dz,-0.5769230769230769,0.1398603866235559,NS
Output_Q2,Output question 2,control,med,26,Wilcoxon signed-rank,49.5,0.5392545710869423,0.018618676772239315,0.175,rank-biserial r,0.15384615384615385,0.5392545710869423,NS
Output_Q3,Output question 3,short,control,26,Wilcoxon signed-rank,15.0,0.09963994626166782,2.1368035080217996e-05,-0.5454545454545454,rank-biserial r,-0.34615384615384615,0.29891983878500344,NS
Output_Q3,Output question 3,short,med,26,Wilcoxon signed-rank,64.0,0.3270560297489956,0.0026457416268557783,-0.25146198830409355,rank-biserial r,-0.38461538461538464,0.6541120594979912,NS
Output_Q3,Output question 3,control,med,26,Wilcoxon signed-rank,67.0,0.9570796152778533,0.010210167107112245,0.014705882352941176,rank-biserial r,-0.038461538461538464,0.9570796152778533,NS
