participant_id,source_row,original_condition,assigned_condition,corrected,reason
A001,2,short,short,False,matched_by_within_participant_time_order
A001,3,med,med,False,matched_by_within_participant_time_order
A001,4,control,control,False,matched_by_within_participant_time_order
A002,5,short,short,False,matched_by_within_participant_time_order
A002,6,med,med,False,matched_by_within_participant_time_order
A002,7,control,control,False,matched_by_within_participant_time_order
A003,8,short,short,False,matched_by_within_participant_time_order
A003,9,med,med,False,matched_by_within_participant_time_order
A003,10,control,control,False,matched_by_within_participant_time_order
A004,11,short,short,False,matched_by_within_participant_time_order
A004,12,med,med,False,matched_by_within_participant_time_order
A004,13,control,control,False,matched_by_within_participant_time_order
A005,14,short,short,False,matched_by_within_participant_time_order
A005,15,med,med,False,matched_by_within_participant_time_order
A005,16,control,control,False,matched_by_within_participant_time_order
A006,17,short,short,False,matched_by_within_participant_time_order
A006,19,control,control,False,matched_by_within_participant_time_order
A006,18,med,med,False,matched_by_within_participant_time_order
A007,20,short,short,False,matched_by_within_participant_time_order
A007,22,control,control,False,matched_by_within_participant_time_order
A007,21,med,med,False,matched_by_within_participant_time_order
A008,23,short,short,False,matched_by_within_participant_time_order
A008,25,control,control,False,matched_by_within_participant_time_order
A008,24,med,med,False,matched_by_within_participant_time_order
A009,26,short,short,False,matched_by_within_participant_time_order
A009,28,control,control,False,matched_by_within_participant_time_order
A009,27,med,med,False,matched_by_within_participant_time_order
A010,29,short,short,False,matched_by_within_participant_time_order
A010,31,control,control,False,matched_by_within_participant_time_order
A010,30,med,med,False,matched_by_within_participant_time_order
A011,33,med,med,False,matched_by_within_participant_time_order
A011,32,short,short,False,matched_by_within_participant_time_order
A011,34,control,control,False,matched_by_within_participant_time_order
A012,36,med,med,False,matched_by_within_participant_time_order
A012,35,short,short,False,matched_by_within_participant_time_order
A012,37,control,control,False,matched_by_within_participant_time_order
A013,39,med,med,False,matched_by_within_participant_time_order
A013,38,short,short,False,matched_by_within_participant_time_order
A013,40,control,control,False,matched_by_within_participant_time_order
A015,42,med,med,False,matched_by_within_participant_time_order
A015,41,short,short,False,matched_by_within_participant_time_order
A015,43,control,control,False,matched_by_within_participant_time_order
A016,45,med,med,False,matched_by_within_participant_time_order
A016,46,control,control,False,matched_by_within_participant_time_order
A016,44,short,short,False,matched_by_within_participant_time_order
A018,48,med,med,False,matched_by_within_participant_time_order
A018,49,control,control,False,matched_by_within_participant_time_order
A018,47,short,short,False,matched_by_within_participant_time_order
A019,51,med,med,False,matched_by_within_participant_time_order
A019,52,control,control,False,matched_by_within_participant_time_order
A019,50,short,short,False,matched_by_within_participant_time_order
A020,54,med,med,False,matched_by_within_participant_time_order
A020,55,control,control,False,matched_by_within_participant_time_order
A020,53,short,short,False,matched_by_within_participant_time_order
A021,58,control,control,False,matched_by_within_participant_time_order
A021,56,short,short,False,matched_by_within_participant_time_order
A021,57,med,med,False,matched_by_within_participant_time_order
A022,61,control,control,False,matched_by_within_participant_time_order
A022,59,short,short,False,matched_by_within_participant_time_order
A022,60,med,med,False,matched_by_within_participant_time_order
A023,64,control,control,False,matched_by_within_participant_time_order
A023,62,short,short,False,matched_by_within_participant_time_order
A023,63,med,med,False,matched_by_within_participant_time_order
A024,67,control,control,False,matched_by_within_participant_time_order
A024,65,short,short,False,matched_by_within_participant_time_order
A024,66,med,med,False,matched_by_within_participant_time_order
A025,70,control,control,False,matched_by_within_participant_time_order
A025,68,short,short,False,matched_by_within_participant_time_order
A025,69,med,med,False,matched_by_within_participant_time_order
A027,73,control,control,False,matched_by_within_participant_time_order
A027,72,med,med,False,matched_by_within_participant_time_order
A027,71,short,short,False,matched_by_within_participant_time_order
A028,76,control,control,False,matched_by_within_participant_time_order
A028,75,med,med,False,matched_by_within_participant_time_order
A028,74,short,short,False,matched_by_within_participant_time_order
A029,78,control,control,False,matched_by_within_participant_time_order
A029,79,control,med,True,matched_by_within_participant_time_order
A029,77,short,short,False,matched_by_within_participant_time_order
