metric,label_en,short_vs_med_p_raw,short_vs_med_p_holm,short_vs_med_significance,short_vs_med_display,short_vs_control_p_raw,short_vs_control_p_holm,short_vs_control_significance,short_vs_control_display,med_vs_control_p_raw,med_vs_control_p_holm,med_vs_control_significance,med_vs_control_display
Total_task_sec,Total task time,0.06688320636749268,0.20064961910247803,NS,0.2006 NS,0.16287089639750507,0.32574179279501014,NS,0.3257 NS,0.48976729126241436,0.48976729126241436,NS,0.4898 NS
Total_answer_sec,Total answer time,0.060680107236719995,0.18204032171016,NS,0.182 NS,0.16041874260186398,0.32083748520372796,NS,0.3208 NS,0.7565756465601465,0.7565756465601465,NS,0.7566 NS
Latency_sec,Time to first input (sum),0.8416728973388672,1.0,NS,1 NS,0.21726065874099731,0.6517819762229919,NS,0.6518 NS,0.8192780830945973,1.0,NS,1 NS
Writing_sec,Writing time (sum),0.05174991159673312,0.15524973479019935,NS,0.1552 NS,0.08038810557737273,0.16077621115474547,NS,0.1608 NS,0.6650700533192934,0.6650700533192934,NS,0.6651 NS
Total_chars,Total character count,0.013040741266775914,0.03912222380032774,*,0.03912 *,0.0434558381430289,0.0869116762860578,NS,0.08691 NS,0.5574781996371139,0.5574781996371139,NS,0.5575 NS
general_Latency,General: time to first input,0.599547415971756,1.0,NS,1 NS,0.6348496079444885,1.0,NS,1 NS,0.8118534011763613,1.0,NS,1 NS
general_Writing,General: writing time,0.007290899753570557,0.02187269926071167,*,0.02187 *,0.036857636265090254,0.07371527253018051,NS,0.07372 NS,0.7453929781913757,0.7453929781913757,NS,0.7454 NS
general_Chars,General: character count,0.042864354060081274,0.12859306218024383,NS,0.1286 NS,0.13533479398304504,0.2706695879660901,NS,0.2707 NS,0.4960440389398405,0.4960440389398405,NS,0.496 NS
content_Latency,Content: time to first input,0.7078457474708557,1.0,NS,1 NS,0.7835337817668915,1.0,NS,1 NS,0.8221841156482697,1.0,NS,1 NS
content_Writing,Content: writing time,0.8612560033798218,0.8612560033798218,NS,0.8613 NS,0.22858635348407869,0.6857590604522361,NS,0.6858 NS,0.4218186648895924,0.8436373297791848,NS,0.8436 NS
content_Chars,Content: character count,0.23638738851062902,0.47277477702125803,NS,0.4728 NS,0.08025874770788799,0.24077624312366397,NS,0.2408 NS,0.3033080252524579,0.47277477702125803,NS,0.4728 NS
inquiry_Latency,Inquiry: time to first input,0.7508737107887603,0.9094890654087067,NS,0.9095 NS,0.3031630218029022,0.9094890654087067,NS,0.9095 NS,0.4082431197166443,0.9094890654087067,NS,0.9095 NS
inquiry_Writing,Inquiry: writing time,0.8416728973388672,1.0,NS,1 NS,0.26870664954185486,0.8061199486255646,NS,0.8061 NS,0.6348496079444885,1.0,NS,1 NS
inquiry_Chars,Inquiry: character count,0.3034056176344361,0.9102168529033082,NS,0.9102 NS,0.8289364470477645,0.9102168529033082,NS,0.9102 NS,0.3247588932482629,0.9102168529033082,NS,0.9102 NS
emotion_Latency,Emotion: time to first input,0.5316631495952606,1.0,NS,1 NS,0.5962049962209424,1.0,NS,1 NS,0.4677756428718567,1.0,NS,1 NS
emotion_Writing,Emotion: writing time,0.007073905885926781,0.02122171765778034,*,0.02122 *,0.24723756313323975,0.4739001393318176,NS,0.4739 NS,0.2369500696659088,0.4739001393318176,NS,0.4739 NS
emotion_Chars,Emotion: character count,0.13705360787689944,0.4111608236306983,NS,0.4112 NS,0.5089454883040834,1.0,NS,1 NS,0.8121935327514813,1.0,NS,1 NS
summary_Latency,Summary: time to first input,0.21726065874099731,0.6235620975494385,NS,0.6236 NS,0.2078540325164795,0.6235620975494385,NS,0.6236 NS,0.8809217512607574,0.8809217512607574,NS,0.8809 NS
summary_Writing,Summary: writing time,0.8443013829687364,1.0,NS,1 NS,0.7782818971642986,1.0,NS,1 NS,0.5952565213209637,1.0,NS,1 NS
summary_Chars,Summary: character count,0.2813607398631028,0.8440822195893083,NS,0.8441 NS,0.4843723788933877,0.9687447577867754,NS,0.9687 NS,0.758629685528998,0.9687447577867754,NS,0.9687 NS
