video_id,video_category_id,video_category
Id4LM4Oexhg,22,People & Blogs
EoHl-1DYJiw,22,People & Blogs
MIeEz8jhD5M,22,People & Blogs
1ua2lqJBzvU,22,People & Blogs
UFFxDErTkdk,22,People & Blogs
0WXl-VsjLuU,22,People & Blogs
P3RNkrLZKWE,22,People & Blogs
t259Foxq-U4,22,People & Blogs
DOHXOd-oxJ0,22,People & Blogs
pBg9rQqHJEA,22,People & Blogs
Y2ozFbCeV2E,22,People & Blogs
0kqS9WkEtGM,22,People & Blogs
nIimPA0NE3U,22,People & Blogs
AanbgpqYAPc,22,People & Blogs
ML35e32RlqM,22,People & Blogs
D1TYGmzSjIE,22,People & Blogs
0bf5Vb69o34,22,People & Blogs
w6bjCDp7ibk,22,People & Blogs
_e84apthYdg,22,People & Blogs
vWDCUhVBkdI,22,People & Blogs
FLRxNe7F9TA,22,People & Blogs
6PuRmp7AP5Q,22,People & Blogs
wW1JdjrqYt8,22,People & Blogs
o1p43JPgQD8,22,People & Blogs
oHErjHCqaw8,22,People & Blogs
mZA0uye3-Js,22,People & Blogs
1AwRfSm--Qs,22,People & Blogs
sHPYxOyu0bU,22,People & Blogs
-uazQNV7rtY,22,People & Blogs
1YjuusUtZuk,22,People & Blogs
J0FFSOj9bcU,15,Pets & Animals
vQMzrSX93PE,22,People & Blogs
5cs8Kk000zM,22,People & Blogs
nxvyBK9ik5A,22,People & Blogs
Aj7bTgHFj8w,22,People & Blogs
y5CQbUGNx-g,22,People & Blogs
JvMUHoq79i4,22,People & Blogs
kV19hS3kEJQ,22,People & Blogs
TVk75mqnK5A,22,People & Blogs
